GEOID,lat,lon,aland_sqmi
06059110114,33.8131222,-118.0403113,0.599
06059110115,33.8583828,-118.0380232,0.602
06059110116,33.8485883,-118.041294,0.472
06059110117,33.8258098,-118.0571887,0.51
06059110118,33.8205123,-118.0500218,0.259
06059110201,33.8355721,-118.0152633,0.753
06059110202,33.8245792,-118.0152251,0.509
06059110203,33.8135237,-118.019392,0.497
06059110301,33.8534449,-118.0275965,0.709
06059110302,33.8527439,-118.0111021,0.846
06059110303,33.8428805,-118.0109172,0.496
06059110304,33.8427884,-118.0282835,0.509
06059110401,33.8529083,-117.9934181,0.877
06059110402,33.8405494,-117.9950643,0.757
06059110500,33.8646765,-118.0150263,1.772
06059110603,33.8686572,-117.9934922,0.728
06059110604,33.88346,-117.9820593,1.355
06059110605,33.8849628,-117.971306,0.914
06059110606,33.8774101,-118.0038989,0.401
06059110607,33.8796677,-117.9952602,0.486
06059980000,33.8096249,-117.9186718,1.068
06059990100,33.5354639,-117.8593391,0.0
